name,symbol,atomicNumber,firstIonizationEnergy,electronCongifuration,oxidationStates,atomicMass,electroNegativity,group,period,state
Hydrogen,H,1,13.598,1s,,1.008,2.100,1,1,Gas
Helium,He,2,24.587,1s,,4.00260,4.160,18,1,Gas
